model,prompts,gate,task_id,repeat,ok,error,rounds,consensus,roster,plan_steps,requirements,requirements_covered,roles_defined_pct,verification_step,independent_verification,summariser_ok,derived_correct,gate_hits,hard_failed,requests_final,request_names,canonical_names,unmapped_names,failed_checks,last_verdicts,truncated,truncation_retries,reasoning_tokens,tokens,calls,latency_ms
gemini-3.5-flash,d24,False,db-choice,1,True,,2,True,4,6,7,True,100,False,False,True,True,0,independent_verification,4,MongoDB Sandbox with Load Generator | PostgreSQL Sandbox with Load Generator | Web Search Tool,MongoDB Sandbox with Load Generator | PostgreSQL Sandbox with Load Generator | web_search,MongoDB Sandbox with Load Generator | PostgreSQL Sandbox with Load Generator,verification_step | independent_verification,APPROVE | APPROVE,1,1,9703,59514,7,136398
gemini-3.5-flash,d24,False,db-choice,2,True,,1,True,4,5,7,True,100,False,False,True,True,0,independent_verification,9,AWS Pricing Calculator | Cloud Pricing Fetcher | Database Sandbox | GCP Pricing Calculator | MongoDB Sandbox | PostgreSQL Sandbox | Web Search | mongoplayback | pgbench,database_sandbox | load_testing | mongoplayback | pricing_api | web_search,mongoplayback,tools_accounted | verification_step | independent_verification,APPROVE | APPROVE,0,0,2833,18167,3,39389
gemini-3.5-flash,d24,False,clickstream-pipeline,0,True,,2,True,5,5,7,True,100,False,True,True,True,0,,1,sql-sandbox,database_sandbox,,verification_step,APPROVE | APPROVE,0,0,6931,33987,6,65413
gemini-3.5-flash,d24,False,clickstream-pipeline,1,True,,1,True,4,4,6,True,100,False,False,False,True,0,independent_verification | summariser,1,sql-sandbox,database_sandbox,,summariser | verification_step | independent_verification,APPROVE | APPROVE,1,1,3566,27859,4,90026
gemini-3.5-flash,d24,False,clickstream-pipeline,2,True,,1,True,5,5,6,True,100,True,True,True,True,0,,2,sql_sandbox | storage_cost_calculator,database_sandbox | storage_cost_calculator,storage_cost_calculator,,APPROVE | APPROVE,0,0,4232,14007,3,38361
gemini-3.5-flash,d24,False,ebike-us-entry,0,True,,1,True,4,5,10,True,100,True,True,True,True,0,,2,Competitor Intelligence Database | Web Search Tool,Competitor Intelligence Database | web_search,Competitor Intelligence Database,,APPROVE | APPROVE,0,0,3216,16027,3,39521
gemini-3.5-flash,d24,False,ebike-us-entry,1,True,,2,True,4,5,9,True,100,True,False,False,True,0,independent_verification | summariser,8,"CPSC Regulatory Portal | Competitor Website Scraping | Financial modeling templates | Industry Reports (e.g., PeopleForBikes, LEVA) | Logistics cost estimators | USITC HTS Online Database | web_search_competitors | web_search_regulatory_and_tariffs","CPSC Regulatory Portal | Competitor Website Scraping | Financial modeling templates | Industry Reports (e.g., PeopleForBikes, LEVA) | Logistics cost estimators | USITC HTS Online Database | web_search_competitors | web_search_regulatory_and_tariffs","CPSC Regulatory Portal | Competitor Website Scraping | Financial modeling templates | Industry Reports (e.g., PeopleForBikes, LEVA) | Logistics cost estimators | USITC HTS Online Database | web_search_competitors | web_search_regulatory_and_tariffs",summariser | tools_accounted | independent_verification,APPROVE | APPROVE,1,1,10525,57909,7,107049
gemini-3.5-flash,d24,False,ebike-us-entry,2,True,,1,True,4,4,10,True,100,False,True,True,True,0,,8,Competitor Pricing Tracker | Financial Modeling Sandbox | Regulatory Database Access | Risk Matrix Generator | Roadmap Builder | UL Standards Sales Portal | USITC HTS Online Database | Web Search Tool,Competitor Pricing Tracker | Financial Modeling Sandbox | Regulatory Database Access | Risk Matrix Generator | Roadmap Builder | UL Standards Sales Portal | USITC HTS Online Database | web_search,Competitor Pricing Tracker | Financial Modeling Sandbox | Regulatory Database Access | Risk Matrix Generator | Roadmap Builder | UL Standards Sales Portal | USITC HTS Online Database,dependencies_valid | tools_accounted | verification_step,APPROVE | APPROVE,0,0,3842,17619,3,41211
gemini-3.5-flash,d24,True,db-choice,0,True,,2,True,3,6,11,True,100,True,True,True,True,1,,8,AWS Pricing Calculator | GCP Pricing Calculator | db_sandbox | docker-compose | gdpr_compliance_analysis | mongoreplay | pg_bench | web_search,db_sandbox | docker-compose | gdpr_compliance_analysis | load_testing | pg_bench | pricing_api | web_search,db_sandbox | docker-compose | gdpr_compliance_analysis | pg_bench,tools_accounted,APPROVE | APPROVE,0,0,6644,37651,6,73047
gemini-3.5-flash,d24,True,db-choice,1,True,,3,False,4,5,9,True,100,True,False,True,True,3,independent_verification,9,"AWS Pricing Calculator | Cloud Pricing API Fetcher | Database Sandbox Environment | Database sandbox environments (PostgreSQL 16, MongoDB 7.0) | GCP Pricing Calculator | GDPR Compliance Framework | Load testing tools (pgbench, sysbench, or custom scripts) | MongoDB Atlas Pricing Calculator | Query profiling tools (EXPLAIN ANALYZE, MongoDB Explain Plan)","Cloud Pricing API Fetcher | Database sandbox environments (PostgreSQL 16, MongoDB 7.0) | GDPR Compliance Framework | Load testing tools (pgbench, sysbench, or custom scripts) | Query profiling tools (EXPLAIN ANALYZE, MongoDB Explain Plan) | database_sandbox | pricing_api","Cloud Pricing API Fetcher | Database sandbox environments (PostgreSQL 16, MongoDB 7.0) | GDPR Compliance Framework | Load testing tools (pgbench, sysbench, or custom scripts) | Query profiling tools (EXPLAIN ANALYZE, MongoDB Explain Plan)",tools_accounted | independent_verification,APPROVE | APPROVE,0,0,11335,67528,9,109894
gemini-3.5-flash,d24,True,db-choice,2,True,,3,False,4,5,7,True,100,True,False,True,True,3,independent_verification,2,Database Sandbox & Execution Environment | Web Search & Market Intelligence,Database Sandbox & Execution Environment | Web Search & Market Intelligence,Database Sandbox & Execution Environment | Web Search & Market Intelligence,independent_verification,APPROVE | APPROVE,0,0,11491,61310,9,124877
gemini-3.5-flash,d24,True,clickstream-pipeline,0,True,,3,True,5,5,7,True,100,False,True,True,True,2,,1,sql-sandbox,database_sandbox,,verification_step,APPROVE | APPROVE,3,3,16023,128411,12,266137
gemini-3.5-flash,d24,True,clickstream-pipeline,1,True,,2,True,4,6,7,True,100,True,True,True,True,1,,1,SQL Execution Sandbox,SQL Execution Sandbox,SQL Execution Sandbox,,APPROVE | APPROVE,1,1,12116,46826,8,135102
gemini-3.5-flash,d24,True,clickstream-pipeline,2,True,,2,True,5,8,6,True,100,True,True,True,True,1,,2,duckdb-sandbox | python-sandbox,code_execution | duckdb-sandbox,duckdb-sandbox,,APPROVE | APPROVE,0,0,5821,34878,6,66326
gemini-3.5-flash,d24,True,ebike-us-entry,0,True,,3,False,4,4,9,False,100,True,False,False,True,3,requirements_covered | independent_verification | summariser,1,web-search-engine,web-search-engine,web-search-engine,requirements_covered | dependencies_valid | summariser | independent_verification,APPROVE | APPROVE,0,0,12045,58323,9,107814
gemini-3.5-flash,d24,True,ebike-us-entry,1,True,,3,False,4,5,7,True,100,False,False,True,True,3,independent_verification,8,Competitor Intelligence Database | Competitor pricing scrapers | E-bike market databases | Financial modeling software | Logistics cost estimators | UL Standards Certification Portal | USITC HTS Database Access | Web Search Tool,Competitor Intelligence Database | Competitor pricing scrapers | E-bike market databases | Financial modeling software | Logistics cost estimators | UL Standards Certification Portal | USITC HTS Database Access | web_search,Competitor Intelligence Database | Competitor pricing scrapers | E-bike market databases | Financial modeling software | Logistics cost estimators | UL Standards Certification Portal | USITC HTS Database Access,tools_accounted | verification_step | independent_verification,APPROVE | APPROVE,0,0,12521,63196,9,116566
gemini-3.5-flash,d24,True,ebike-us-entry,2,True,,3,True,4,5,9,True,100,True,True,True,True,1,,3,Web Search Tool,web_search,,,APPROVE | APPROVE,1,1,14919,62494,10,138965
