model,prompts,task_id,repeat,ok,error,rounds,consensus,roster,plan_steps,requirements,requirements_covered,roles_defined_pct,verification_step,summariser_ok,derived_correct,requests_final,request_names,failed_checks,last_verdicts,truncated,tokens,calls,latency_ms
gemini-3.1-flash-lite,d24,clickstream-pipeline,0,True,,2,True,2,4,8,True,100,False,False,True,2,Calc | Code Execution Environment,summariser | tools_accounted | verification_step,APPROVE | APPROVE,0,15932,6,19367
gemini-3.1-flash-lite,d24,clickstream-pipeline,1,True,,3,False,4,4,11,True,100,False,True,True,1,code-execution-sandbox,verification_step,REVISE | OTHER,0,29136,9,32520
gemini-3.1-flash-lite,d24,clickstream-pipeline,2,True,,1,True,3,3,7,True,100,True,True,True,4,Calculator | Code Editor | Data Sandbox | Spreadsheet,tools_accounted,APPROVE | APPROVE,0,7600,3,11103
gemini-3.1-flash-lite,d24,ebike-us-entry,0,True,,2,True,3,4,7,True,100,False,False,True,6,Spreadsheet software | Trade Compliance Database Access | Trade database access | Web Search | Web search,summariser | tools_accounted | verification_step,APPROVE | APPROVE,0,18116,6,22006
gemini-3.1-flash-lite,d24,ebike-us-entry,1,True,,1,True,3,3,9,True,100,False,True,True,4,Spreadsheet | Web Search,tools_accounted | verification_step,APPROVE | APPROVE,0,7708,3,11195
gemini-3.1-flash-lite,d24,ebike-us-entry,2,True,,3,False,3,3,6,True,100,False,True,True,4,Spreadsheet | Web Search,tools_accounted | verification_step,OTHER | APPROVE,0,29097,9,32948
gemini-3.5-flash,d19,db-choice,0,True,,3,False,4,4,0,,0,,False,True,2,code_execution | web_search,roles_fully_defined | summariser,None | None,3,30324,10,95592
gemini-3.5-flash,d19,db-choice,1,True,,3,False,4,4,0,,0,,False,True,2,Cloud_Pricing_API | Web_Search,roles_fully_defined | summariser,None | None,2,36916,10,115637
gemini-3.5-flash,d19,db-choice,2,True,,3,False,4,4,0,,0,,False,True,0,,roles_fully_defined | summariser,None | None,2,25408,10,94404
gemini-3.5-flash,d19,clickstream-pipeline,0,False,draft: roster size 1 outside 2..5,3,False,0,0,,,,,,False,0,,,,3,23095,10,81611
gemini-3.5-flash,d19,clickstream-pipeline,1,True,,3,True,5,5,0,,0,,False,False,1,python_interpreter,roles_fully_defined | summariser,None | None,0,26258,9,69477
gemini-3.5-flash,d19,clickstream-pipeline,2,True,,3,False,4,4,0,,0,,False,False,0,,roles_fully_defined | summariser,None | None,0,25106,9,75709
gemini-3.5-flash,d19,ebike-us-entry,0,True,,3,False,4,5,0,,0,,False,True,2,web_search,roles_fully_defined | summariser,None | None,1,39448,10,108602
gemini-3.5-flash,d19,ebike-us-entry,1,True,,3,False,4,4,0,,0,,False,True,1,web_search,roles_fully_defined | summariser,None | None,2,37719,11,101594
gemini-3.5-flash,d19,ebike-us-entry,2,False,draft: roster size 1 outside 2..5,3,False,0,0,,,,,,True,0,,,,4,25206,10,101048
gemini-3.5-flash,d24,db-choice,0,True,,1,True,4,5,9,True,100,False,True,True,9,AWS Simple Monthly Calculator / Pricing API | Cloud Pricing Fetcher | Database Sandbox | GCP Pricing Calculator | GDPR Compliance Analysis | MongoDB Sandbox | PostgreSQL Sandbox | mongoreplay | pgbench,tools_accounted | verification_step,APPROVE | APPROVE,0,17072,3,41752
gemini-3.5-flash,d24,db-choice,1,True,,1,True,3,4,9,True,100,False,True,True,9,"AWS Pricing Calculator API | Cloud Pricing API Client | Database Sandbox | GCP Pricing Calculator API | Load Testing Tool (e.g., k6 or pgbench) | MongoDB Atlas Pricing Calculator | MongoDB Sandbox | PostgreSQL Sandbox | Web Search Tool",tools_accounted | verification_step,APPROVE | APPROVE,0,15844,3,42683
gemini-3.5-flash,d24,db-choice,2,True,,1,True,3,4,6,True,100,False,True,True,9,AWS Pricing Calculator | Database Sandbox | Docker | GCP Pricing Calculator | MongoDB Atlas Pricing Estimator | Web Search | k6 | mongo-perf | pgbench,tools_accounted | verification_step,APPROVE | APPROVE,1,21837,4,47658
gemini-3.5-flash,d24,clickstream-pipeline,0,True,,1,True,4,6,6,True,100,True,False,True,2,python-sandbox | storage-cost-modeling,summariser,APPROVE | APPROVE,0,14219,3,39005
gemini-3.5-flash,d24,clickstream-pipeline,1,True,,2,True,4,5,7,True,100,False,False,False,2,python-sandbox | storage-calculator,summariser | verification_step,APPROVE | APPROVE,0,27374,6,59882
gemini-3.5-flash,d24,clickstream-pipeline,2,True,,1,True,4,5,5,True,100,True,True,False,1,sql_sandbox,,APPROVE | APPROVE,0,12621,3,33314
gemini-3.5-flash,d24,ebike-us-entry,0,True,,2,True,3,4,7,True,100,False,True,True,7,Competitor pricing scrapers | Competitor_Pricing_Intelligence | Financial_Sensitivity_Analysis | Regulatory_Standards_and_Law_Search | UL Standards Sales Site | USITC Harmonized Tariff Schedule database | USITC_Tariff_Database_Access,tools_accounted | verification_step,APPROVE | APPROVE,0,37142,6,73359
gemini-3.5-flash,d24,ebike-us-entry,1,True,,2,True,4,4,7,True,100,True,True,True,2,market_intelligence_database | web_search,,APPROVE | APPROVE,0,40215,6,76920
gemini-3.5-flash,d24,ebike-us-entry,2,True,,2,True,4,5,10,True,100,False,True,True,5,UL 2849 Standard Directory | UL Standards Sales Site | USITC Harmonized Tariff Schedule database | USITC Tariff Database Access | Web Search & Market Intelligence Access,tools_accounted | verification_step,APPROVE | APPROVE,0,40865,6,69604
