task_id,cell,run_id,figure_as_written
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,"$1,800"
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,$250
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,10% Buffer
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,$225
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,"$2,475"
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,30
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,31
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,60
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,61
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,$700/mo
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,30
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,0.5
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,64 ACUs
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,"$1,800"
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,3TB
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,7TB
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,$900
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,$280
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,$550
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,"$3,530"
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,30
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,31
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,60
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,61
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,5k
db-choice,3.1-flash-lite boss_reviewers,30e795df-5126-4860-943d-cae4bcf03c11,500
db-choice,3.1-flash-lite boss_reviewers,36cd0e7b-9d16-4345-b45a-deb3528ce73a,32
db-choice,3.1-flash-lite boss_reviewers,36cd0e7b-9d16-4345-b45a-deb3528ce73a,30
db-choice,3.1-flash-lite boss_reviewers,36cd0e7b-9d16-4345-b45a-deb3528ce73a,31
db-choice,3.1-flash-lite boss_reviewers,36cd0e7b-9d16-4345-b45a-deb3528ce73a,60
db-choice,3.1-flash-lite boss_reviewers,36cd0e7b-9d16-4345-b45a-deb3528ce73a,61
db-choice,3.1-flash-lite boss_reviewers,36cd0e7b-9d16-4345-b45a-deb3528ce73a,$118/tenant/month
db-choice,3.1-flash-lite boss_reviewers,36cd0e7b-9d16-4345-b45a-deb3528ce73a,5 EU-based
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,301 tariff
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,321
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$300k
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$250k
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,321
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,321
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$800
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,301 duties
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$1.45M
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$300k
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$1.6M
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$2.2M
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$3.5M
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,1 OpEx
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$8.75M
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,12
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,321 shipping
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,10
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,15 high-end
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,301 Duties
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,321
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$10M
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,"$3,500"
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,"2,850 units"
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,25% gross
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,321 loophole
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$1.45M
ebike-us-entry,3.1-flash-lite boss_reviewers,0cc36bdc-938d-40c5-b6b5-72142590ff80,$1.45M
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,301 China-origin
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,16 CFR
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,1512 battery
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,301
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,25% tariff
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,2271
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,16 CFR
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,1512 compliance
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,15%
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,"$550,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,3rd
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,"$250,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,"$2,000,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,15% contingency
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,3PL
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,10% Inv
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,"$1,500,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,"$600,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,15%
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,"$735,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,"$5,635,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,$1.085M
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,$250k
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,2 suppliers
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,25% Section
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,301 tariff
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,301 tariffs
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,12
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,13
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,301 Tariffs
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,1 battery
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,2271/2849
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,$6M
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,$5.6M
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,301 tariffs
ebike-us-entry,3.1-flash-lite boss_reviewers,3ec07f0f-7e06-4149-b396-598472d4aa11,$5.635M
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,20mph
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,28mph
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,1 OpEx
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,$5.2M
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,"$350,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,$750/unit
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,"$3,000,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,50% higher
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,3PL/Tariff
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,"$1,350,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,15% tariff
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,"$500,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,1 OpEx
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,"$5,200,000"
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,$2B
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,$10M
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,"$3,300"
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,"3,030 units"
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,15% tariff
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,20% dealer
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,35%
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,1 and
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,3 hardware
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,100% non-Chinese
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,301 tariffs
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,12
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,3 high-density
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,20 independent
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,13
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,3 Risks
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,15% contingency
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,"$3,300 price"
ebike-us-entry,3.1-flash-lite boss_reviewers,5a01dbfd-b581-4d09-afe8-76c7828e253a,$5.2M
clickstream-pipeline,3.5-flash boss_reviewers,630773ba-51d0-4114-bd94-1b7d5fd9cab8,60 GB/day
clickstream-pipeline,3.5-flash boss_reviewers,98035782-5098-4323-9e81-31645a1371b1,00 UTC
db-choice,3.5-flash boss_reviewers,5bd9023e-cab8-43dd-8d80-287dbd7d6f04,10 TB
db-choice,3.5-flash boss_reviewers,a6495be3-887f-4086-8ca8-9a6b325e5e7c,"15,000 IOPS"
db-choice,3.5-flash boss_reviewers,a6495be3-887f-4086-8ca8-9a6b325e5e7c,"3,000 free"
db-choice,3.5-flash boss_reviewers,a6495be3-887f-4086-8ca8-9a6b325e5e7c,"12,000 provisioned"
db-choice,3.5-flash boss_reviewers,a6495be3-887f-4086-8ca8-9a6b325e5e7c,$0.005/IOPS
db-choice,3.5-flash boss_reviewers,a6495be3-887f-4086-8ca8-9a6b325e5e7c,$120/month
db-choice,3.5-flash boss_reviewers,a6495be3-887f-4086-8ca8-9a6b325e5e7c,500 MB/s
db-choice,3.5-flash boss_reviewers,ca5b325c-4140-40ac-9bd3-c30829171c33,24
db-choice,3.5-flash boss_reviewers,ca5b325c-4140-40ac-9bd3-c30829171c33,2023
db-choice,3.5-flash boss_reviewers,ca5b325c-4140-40ac-9bd3-c30829171c33,1.1 Executive
ebike-us-entry,3.5-flash boss_reviewers,043b27e0-85d8-4934-b404-d5b809d602f4,24
ebike-us-entry,3.5-flash boss_reviewers,043b27e0-85d8-4934-b404-d5b809d602f4,2023
ebike-us-entry,3.5-flash boss_reviewers,331e3db6-97bf-408c-8a24-b32503f83427,24
ebike-us-entry,3.5-flash boss_reviewers,331e3db6-97bf-408c-8a24-b32503f83427,2023
ebike-us-entry,3.5-flash boss_reviewers,63c1088b-d905-4312-a2b1-01606a610c22,24
ebike-us-entry,3.5-flash boss_reviewers,63c1088b-d905-4312-a2b1-01606a610c22,2023
